Title,Source,Published Date,URL,Content
Can PayPal Compete With Apple Pay?,Motley Fool,2023-05-25T09:30:00Z,https://www.fool.com/investing/2023/05/25/can-paypal-compete-with-apple-pay/,"Apple (AAPL 1.41%), with its deep pockets and innovative technology, is a threat any time it expands into a new market. PayPal (PYPL 1.43%) investors are right to be concerned about the new giant encroaching on its space.

*Stock prices used were the afternoon prices of May 22, 2023. The video was published on May 24, 2023."
MarketWatch: Nvidia barrels toward rare $1 trillion valuation after putting a dollar figure on AI boost,MarketWatch,2023-05-24T22:16:00Z,https://www.marketwatch.com/story/nvidia-barrels-toward-rare-1-trillion-valuation-after-putting-a-dollar-figure-on-ai-boost-443b7d0f,"Nvidia Corp. headed toward market-capitalization gains of nearly $200 billion in after-hours trading Wednesday, which could put the chip maker within sight of becoming only the seventh U.S. company to top a valuation of $1 trillion.

Nvidia shares NVDA, +2.54% jumped 25% in the extended session Wednesday, after executives predicted that revenue would exceed the company’s record by more than 30% in the current quarter. The audacious forecast arrived as tech companies look to jump on advances in artificial intelligence that are largely powered by Nvidia’s computing gear.

Nvidia ended Wednesday’s session with a market cap — the total value of all shares in existence — of roughly $754.3 billion, according to FactSet. A 25% increase would add nearly $189 billion to that total, putting the company within striking distance of $1 trillion. Only six U.S. companies have ever attained a $1 trillion market cap: Apple Inc. AAPL, +1.41% and Microsoft Corp. MSFT, +2.14% are currently worth more than $2 trillion apiece; Google parent Alphabet Inc. GOOGL, +0.92% and Amazon.com Inc. AMZN, +4.44% have valuation of more than $1 trillion; and Facebook parent Meta Platforms Inc. META, +3.70% and Tesla Inc. TSLA, +4.72% have both touched the $1 trillion plateau previously.

For more: From U.S. Steel’s $1 billion market cap to Apple’s $1 trillion — a brief history of valuation milestones

Nvidia’s market cap was ahead of both Meta and Tesla as of Wednesday’s close, with both worth less than $650 billion, showing the potential fleeting nature of such a valuation. Nvidia’s record market cap is $834.4 billion, established on Nov. 29. 2021, according to Dow Jones Market Data.

If Nvidia’s gains hold through Thursday’s trading session, the company could challenge for the largest one-day market-cap gain in history. The biggest currently on record was Amazon’s $191.2 billion increase on Feb. 4, 2022, according to Dow Jones Market Data, followed closely by a $190.9 billion gain by Apple on Nov. 10, 2022. Nvidia also stands to gain more than rival Advanced Micro Devices Inc. AMD, +5.55% is worth in total — AMD ended Wednesday’s session with a market cap of $174.4 billion.

Nvidia is closing in on the rare $1 trillion plateau because of huge gains in its stock this year, as hopes and hype about generative AI have flooded the tech sector. After OpenAI debuted its ChatGPT AI offering, and investor Microsoft quickly integrated the chatbot into many of its services, expectations for the technology have exploded.

Despite the hype, most companies have avoided providing hard figures for revenue gains expected from AI. Nvidia’s fiscal second-quarter forecast — which calls for roughly $11 billion in sales, nearly 33% higher than Nvidia’s previous quarterly record of $8.28 billion — could be seen as the first sign of a wave of fresh spending coursing through the tech sector.

Other companies have indicated that they will be forced to spend to develop their technology before reaping large financial rewards from it. Microsoft, for example, disclosed to investors last month that capital expenditures are increasing as it builds AI capabilities into its Azure cloud-computing platform — spending that is largely going toward Nvidia.

Full earnings coverage: Nvidia stock soars toward all-time high as AI push leads executives to predict record revenue

That is a rather typical path for large jumps in tech spending: Companies that make the necessary hardware see gains before the companies that use that gear can develop offerings that take advantage of it. Other gear makers joined Nvidia in the sharp move higher in after-hours trading Wednesday, including AMD, which gained more than 10%; chip maker Marvell Technology Inc. MRVL, +32.42% , which increased more than 5%; and networking specialist Arista Networks Inc. ANET, +9.06% , which added about 5%."
"In One Chart: Stock market’s AI frenzy reinforces this crucial rule for traders, RenMac says",MarketWatch,2023-05-26T15:37:00Z,https://www.marketwatch.com/story/stock-markets-ai-frenzy-reinforces-this-crucial-rule-for-traders-renmac-says-fc248f84,"A mind-blowing Thursday surge by shares of chip maker Nvidia Corp. that fed a frenzy for artificial-intelligence stock market plays reinforces a cardinal rule for traders, said a technician at a top Wall Street research firm.

“Yesterday’s move in NVDA was one for the record books,” said Kevin Dempter, analyst at Renaissance Macro Research, in a Friday note. It also served as an example of the rule the firm preaches above all others, he said, which is to “‘not fear momentum.’”

Shares of Nvidia NVDA, +2.54% jumped 24% Thursday, putting a $1 trillion valuation in sight, after it delivered a blowout earnings forecast centered on soaring demand for chips related to artificial-inteligence applications. That built on an already staggering upside run for the stock, which is up nearly 160% so far in 2023.

Read: Nvidia stock is the most overbought in 18 months, but that doesn’t mean the rally is over

“Just because a strong stock or sector is overbought after a big run doesn’t mean you should sell it. Strength begets strength and the rich get richer, embrace momentum,” Dempter wrote. (See chart below.)

Renaissance Macro Research

Nvidia shares added another 2.5% on Friday, while the megacap-tech-concentrated Nasdaq-100 NDX, +2.58% logged a 3.4% weekly gain, up more than 30% for the year to date. The S&P 500 SPX, +1.30% rose 1.3% Friday, turning positive on the week and up around 9.5% for the year. The Dow Jones Industrial Average DJIA, +1.00% bounced Friday, snapping a five-day losing streak but logging a 1% weekly fall.

See: ‘Unprecedented’ and ‘unfathomable.’ Nvidia makes jaws drop on Wall Street as stock explodes higher.

So should investors chase the rally? Not so fast there, either.

Dempter said RenMac still wouldn’t fade the move, but it might pay now to be patient and let overbought conditions get worked off before looking to add positions.

He noted that the rally comes amid a list of understandable reasons for caution. The breadth — the number of stocks advancing versus declining — continues to weaken, with just 37% of the issues in the broad S&P 1500 index above their 200-day moving average and new 20-day lows outnumbering 20-day highs. The equal-weight measure of the S&P 500 recently witnessed a “dark” or “death” cross in which the 50-day moving average falls below the 200-day moving average.

And the AI rally has some market watchers pondering if another bubble may be in the works.

Fidelity’s MSCI Information Technology ETF FTEC, +2.68% , which allocates 23% to Apple, AAPL, +1.41% 19% to Microsoft MSFT, +2.14% and 6% to Nvidia was up by more than 3.5% Thursday, and 40% since last October 2022 dip. It currently trades 30 times the earnings, while the S&P500’s price-to-earnings ratio is only around 22, noted Ipek Ozkardeskaya, senior analyst at Swissquote Bank, in a note. She observed that Nvidia’s P/E ratio spiked to 219 Thursday.

It all points to a “bubble in the making” for AI-related stocks, she said, warning that it “could soon be time for a correction.”

Dempter said that despite broader market concerns, “we still want to embrace those areas that are breaking out [with] momentum. It may be narrow, but we would remain overweight tech and would stick with the leaders while embracing improving trends in the sector,” he said.

It’s hard to say how the AI boom will play out, but Dempter argued it’s smart to stay long the names that have already benefited most.

Need to Know: AI stocks are soaring but average investors aren’t yet rushing in"
AMZN vs. AAPL: Which Big Tech Stock is Better? - TipRanks,Google News,2023-05-25T21:48:29Z,https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LnRpcHJhbmtzLmNvbS9uZXdzL2FydGljbGUvYW16bi12cy1hYXBsLXdoaWNoLWJpZy10ZWNoLXN0b2NrLWlzLWJldHRlctIBAA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1,"In this piece, I evaluated two big tech stocks, Amazon (NASDAQ:AMZN) and Apple (NASDAQ:AAPL), using TipRanks’ comparison tool to determine which is better. Of course, Amazon and Apple need no introduction. Amazon has exploded 34% year-to-date, bringing its one-year return to 3.5%. Meanwhile, Apple is up 38.7% year-to-date and 21% over the last year. Notably, Apple is trading close to its record high, while Amazon is significantly off its all-time high.

Technology stocks have been broadly outperforming those in other sectors. Although tech names make up several of the highest-weighted names in the S&P 500 (SPX), it has gained about 8% year-to-date versus the tech-heavy Nasdaq’s (NDX) 26% year-to-date gain. Thus, investors might be wondering whether there’s any near-term upside left, so a closer look is in order.

Amazon (NASDAQ:AMZN)

Amazon has faced some issues recently that may be restraining its stock. However, given its long-term stability, a bullish view looks appropriate, as the current restraints on its stock price appear to have created a nice entry point for investors.

It’s long been a challenge to estimate Amazon’s valuation because it has so many moving parts. In addition to the e-commerce business the company is so well-known for, it also has recurring revenue in the form of Prime subscriptions.

Additionally, the Amazon Web Services platform serves numerous companies. Amazon also has its own devices and other branded products for sale on its platform and is developing various technologies, including Alexa, its digital assistant backed by artificial intelligence.

Notably, hedge funds unloaded 10 million shares of Amazon in the last quarter, which is one driver of the sell-off. Still, the company’s Retail segment generated $343 million in operating losses for the first quarter, a massive improvement from the $2.85 billion it lost in the year-ago quarter. Amazon Web Services continues to generate Amazon’s profits, although its operating expenses have risen, just as they have at other tech companies.

Amazon’s net income margin fell into the red for 2022, at -0.5%, but it began to recover in the first quarter, coming in at 0.8% for the last 12 months. As things stand now, it looks like Amazon is starting to recover, which is why its stock is up so much year-to-date. However, it looks like there will be more room to run in the near term.

Even if Amazon shares stagnate temporarily, I believe that buying and holding them for the long term will likely generate solid returns because this company isn’t going anywhere.

What is the Price Target for AMZN Stock?

Amazon has a Strong Buy consensus rating based on 35 Buys, one Hold, and zero Sell ratings assigned over the last three months. At $134.85, the average Amazon stock price target implies upside potential of 17.3%.

Apple (NASDAQ:AAPL)

On the one hand, Apple is one stock many investors buy and hold for the long term. However, on the other, the iPhone maker is trading close to its record high, making Amazon look like the better value option. Since a better entry point appears likely in the near future, a neutral view seems appropriate for Apple, but only in the short term.

Like Amazon, Apple is a stable, steadily-growing technology company. Of course, it’s far more profitable, as it isn’t saddled with an e-commerce business that often loses money and retains ultra-low profits when it’s in the green. However, Apple is trading at a price-to-earnings (P/E) multiple of 29.2 versus its five-year average P/E of 25.4, making it look slightly overvalued.

While hedge funds widely sold Amazon, they gobbled up over 16 million shares of Apple in the last quarter. Warren Buffett‘s Berkshire Hathaway (NYSE:BRK.A) (NYSE:BRK.B) also bought more Apple shares in the last quarter.

What is the Price Target for AAPL Stock?

Apple has a Strong Buy consensus rating based on 22 Buys, five Holds, and one Sell rating assigned over the last three months. At $181.88, the average Apple stock price target implies upside potential of 5.1%.

Conclusion: Bullish on AMZN, Short-Term Neutral on AAPL

At this stage, it’s hard to go wrong with either Amazon or Apple. Many investors consider Amazon and Apple as both stocks they would buy and hold for the long term. Neither company looks like they’re in danger, as they are both stable and growing, but Amazon looks slightly better than Apple in terms of its valuation.

Of course, though, a recession or general downtick in investor sentiment for tech stocks could create better entry points for both.

Disclosure"
Apple Inks Multibillion-Dollar Wireless-Chip Supply Deal With Broadcom,Biztoc.com,2023-05-24T02:08:16Z,https://biztoc.com/x/4a27e0b7f00f883e,"Consumer electronics giant Apple (AAPL) on Tuesday announced a multiyear, multibillion-dollar agreement with Broadcom (AVGO) for the chipmaker to supply 5G wireless components. Apple stock fell and AVGO stock rose on Tuesday.







X







&

In a news release, Apple said it is collaborating with Broadcom to develop 5G radio-frequency components — including FBAR filters —…

This story appeared on investors.com , 2023-05-23."
Goldman: Mutual Funds Flood Into MegaTech Stocks As They Start Cutting Cash Allocations,Biztoc.com,2023-05-25T17:44:05Z,https://biztoc.com/x/e1a917b32123fdfa,"Goldman: Mutual Funds Flood Into MegaTech Stocks As They Start Cutting Cash Allocations



Even before the NVDA blowout earnings report, Goldman flow trader John Flood wrote yesterday that on the bank's trading desk he had seen consistent Mutual Fund buyers in supercap tech over the last 3 weeks, ever since AAPL made it 5 for 5 in regards to MAGMA earnings beats (all that was…

This story appeared on zerohedge.com , 2023-05-25."
Warren Buffett Just Bought More Apple Shares. Should You?,Motley Fool,2023-05-25T11:30:00Z,https://www.fool.com/investing/2023/05/25/warren-buffett-just-bought-more-apple-shares-shoul/,"If you look at Warren Buffett's Berkshire Hathaway, you can see a clear preference for one company: Apple (AAPL 1.41%). Berkshire's stake in the company is worth over $156 billion -- an incredible 47% of its investment portfolio. With Berkshire's $700 billion market cap, it's not unfair to say that over a fifth of the company is Apple.

While most investors would be uncomfortable with that concentration level, Berkshire clearly isn't. It added 20 million more shares (about a 2% increase in its stake) during the first quarter. So should you follow Buffett's example with Apple, or are there better investments out there? Let's take a look.

Is Buffett forsaking his value-investing roots?

Apple's products have become a staple for the American consumer. Whether it's a MacBook, AirPods, or the ever-popular iPhone lineup, Apple has successfully launched and developed a product ecosystem few companies could ever dream of achieving.

It has also been responsible with its finances, garnering praise from Buffett and his right-hand man, Charlie Munger, for many years.

These two, along with many in the financial media, have cheered investors on to own more Apple stock, since it has been one of the best-executing businesses since Buffett established his position in 2016.

To be clear, this investment has worked out well over the past decade, with a total return of 629% versus the S&P 500's 135%. But the price of Apple's stock makes me scratch my head at Buffett's latest move, since he is a famous value investor.

When Berkshire first bought Apple in 2016, the stock had a dirt cheap price-to-earnings (P/E) ratio of 12. Now, it's valued at around 30 times earnings.

This valuation increase isn't entirely due to widespread coverage of Apple stock ownership; a lot of it has to deal with the company's improving profitability. Even though it has only moved up 3 percentage points, when the company generates nearly $400 billion in revenue, that works out to $12 billion more in profits -- a massive increase.

Still, is that enough to warrant a valuation near 30 times earnings? I don't think so.

Apple isn't putting up the growth needed for its valuation

An earnings multiple of 30 is usually reserved for a rapidly growing company -- something Apple isn't. In fact, its revenue fell nearly 3% in the second quarter (ending April 1). While profit margins stayed relatively stable, its earnings per share fell $0.01 because of the revenue drop.

That revenue drop can be attributed to a weaker consumer, but it also reflects how difficult it is to grow when you have become that large. Even in 2024, when many companies expect the economy to return to strength, Wall Street analysts only project 6.4% revenue growth.

Apple will likely need to grow faster to maintain a premium valuation like that.

So, do I think the stock will come crashing down? Absolutely not. Because of its widespread ownership individually and through index funds (Apple makes up 7.4% of the S&P 500 and 12.5% of the Nasdaq 100), the shares have become insulated from rapid drops, because it would require a lot of investors to sell at once.

But I don't think Apple can deliver the growth it needs. A significant portion of the stock's performance over these past few years has come from multiple expansions, or when investors are willing to pay a more significant premium for the stock.

With that catalyst gone, it has to deliver based on business performance. While it can still succeed at the business level, it won't be as fast as some other companies are growing, which is why I think investors looking for greater upside should look elsewhere.

Still, if you want a steady company as a parking spot for your savings before retirement or to stabilize your portfolio (similar to how Berkshire is doing it), you could do much worse than Apple.

Apple stock has its place in life, but if you're looking for the best possible returns, it doesn't fit the bill from a forward-looking standpoint."
2 Winning Stocks to Buy No Matter What the Market Is Doing,Motley Fool,2023-05-28T09:05:00Z,https://www.fool.com/investing/2023/05/28/2-winning-stocks-buy-no-matter-market/,"Stocks can swing wildly from year to year, as investors were reminded in 2022. While investors can't control the markets, some stocks allow them to sleep well at night better than others.

Microsoft (MSFT 2.14%) and Apple (AAPL 1.41%) provide essential services people use every day, and new technologies and product development are only strengthening their long-term growth prospects. Here's why these two top stocks will continue winning for investors over the long term.

1. Microsoft

You would be hard-pressed to find a more solid investment than Microsoft. Windows and Office software are widely used in the consumer and enterprise spaces, and Microsoft has successfully migrated these products to subscription services in recent years, leading to robust growth in earnings that helped fuel the stock's performance.

Microsoft is posting balanced revenue and earnings growth despite a challenging business environment. In the most recent quarter, Office and cloud services growth drove double-digit year-over-year increases in revenue and earnings per share on a constant-currency basis.

Thanks to the company's investment in OpenAI -- the creators behind popular artificial intelligence (AI)-powered text app ChatGPT -- Microsoft is also bringing smart AI tools to its Office suite, which could drive more demand.

Another reason to consider Microsoft a solid investment for the long haul is its booming enterprise cloud services business. Microsoft Azure has soared to second place behind Amazon over the last five years. Microsoft mentioned on the last earnings call that it now has more than 2,500 Azure OpenAI customers using the service's advanced language models, up an impressive 10-fold over the previous quarter.

These developments make clear that advancing technology only strengthens Microsoft's competitive moat. Microsoft has the cash flows to invest in the latest technologies fueling demand for its core software services, and that's the main reason investors can rely on the stock to keep reaching new highs over time, no matter what happens in the near term.

2. Apple

The iPhone maker is another solid stock that should continue to grow in value for years to come, regardless of what happens in the markets in the near term. The stock fell in 2022, along with everything else, but has rebounded around 32% this year. Apple generates enormous amounts of cash from operations, pays a regular dividend, and has an enviable brand.

As noted by last year's dip in the stock price, Apple is not immune from market swings, but investors can count on consistent revenue every year from a loyal customer base that continues to buy more devices. This leads to consistent, robust free cash flow the company can return to shareholders through a growing dividend and share repurchases.

Apple said its installed base of devices hit another record in the most recent quarter. It entered the year with more than 2 billion devices across its customer base, up from 1.3 billion at the start of 2018. It's unsurprising that as more customers have purchased an Apple product and spent money on subscriptions and apps, Apple's free cash flow has also grown to $97 billion, or 78% higher than five years ago.

With over 2 billion active devices, you might be wondering how much more Apple can grow. It can keep growing that figure through new product releases and converting customers from competing smartphone manufacturers.

Apple is expected to finally unveil its long-rumored mixed-reality headset next month at the company's annual Worldwide Developers' Conference. While initial sales are expected to be modest at best, especially at the rumored $3,000 price point, the product could grow in importance over the long term like the Apple Watch did after its 2015 launch.

Investors should also expect Apple to find ways to wow customers with new AI features in its existing product lineup, which could convert non-Apple users to try an iPhone. After all, CEO Tim Cook credited the recent increase in the installed base to ""a large number of switchers"" following the iPhone 14 launch last fall.

Apple's underlying edge over competitors is brand power. And that's why Warren Buffett has sunk billions into the stock in recent years and why investors can expect Apple to keep winning for shareholders for years to come."
Want Passive Income Forever? Buy These 2 Magnificent Stocks Now,Motley Fool,2023-05-26T13:53:00Z,https://www.fool.com/investing/2023/05/26/want-passive-income-forever-buy-these-magnificent/,"Many investors actively seek dividend stocks, and who can blame them? Nothing beats making money while you sleep. But when investing in dividend-paying companies, there is always the risk that these corporations will reduce or suspend their payouts altogether. Choosing the right dividend stocks is arguably the best way to avoid this risk: Not all dividend stocks are created equal.

With that said, let's turn our attention to two companies that are practically passive income machines and will likely continue rewarding shareholders with payout increases for a long time: Johnson & Johnson (JNJ -0.04%) and Apple (AAPL 1.41%).

1. Johnson & Johnson

Johnson & Johnson has a history that dates back more than 100 years. Most businesses struggle to survive a decade, so this feat is highly impressive. It's because J&J offers goods that are always in high demand. It is a leading pharmaceutical company with a diversified portfolio of medicines spanning several therapeutic areas, from infectious diseases to oncology, immunology, neuroscience, and more.

Moreover, Johnson & Johnson spends ample money on research and development and routinely adds new products to its vast portfolio. Drugmakers can cease being relevant if they stop innovating. That is unlikely to happen to this pharma giant. The company's medical devices unit also offers a range of products that physicians use to improve health outcomes for their patients.

Furthermore, Johnson & Johnson records consistent revenue, profits, and free cash flow.

JNJ Net Income (Annual) data by YCharts.

Financial health is essential as no company can sustain dividend increases over the long run without that. And as an added piece of evidence of Johnson & Johnson's financial health, the company boasts an AAA rating from Standard & Poor, a testament to its strong balance sheet. Even if the U.S. Federal Reserve's predicted recession hits us before the end of the year, the healthcare giant should be just fine.

Johnson & Johnson has had to navigate various lawsuits against it in recent years regarding opioids as well as its talc-based baby powder, but these processes will play themselves out eventually. The company has survived plenty of downturns and challenges in its long history.

Finally, Johnson & Johnson has been excellent at hiking its payouts. The drugmaker is a Dividend King. It is currently on its 60th consecutive year of dividend increases. Very few corporations have a better track record. Johnson & Johnson's current 3.03% dividend yield is above that of the S&P 500 at 1.66%.

Although its cash payout ratio of 73% seems high, the company has the tools necessary to continue doing what it has been doing for a long time: slowly and steadily growing its dividend. Investors can sleep easy knowing that Johnson & Johnson's payouts are secure.

2. Apple

Apple isn't in the business of selling medicines. Most of the things it offers are, strictly speaking, goods that can eventually become obsolete. But the company is still an excellent stock to buy and hold forever. Here is why: Apple has built an incredibly strong brand name and a culture of technological innovation.

The company is an expert at transforming existing tech into better and more sophisticated versions of essentially the same thing. Cell phones existed before the iPhone, and AirPods are just fancy earbuds, among other examples. Once branded with its logo, these devices typically command high prices, even though plenty of cheaper substitutes are available. That speaks to Apple's customer loyalty, a powerful competitive edge.

That's why the company reports solid financial results even in challenging economic times.

AAPL Net Income (Annual) data by YCharts.

However, Apple has been seeking to diversify its revenue base. It increasingly relies on its services segment, which offers everything from Apple Cloud, Apple TV+, Apple Music, and much more. This business still makes up a small percentage of its top line, but it has grown in importance. Apple's installed base now stands at more than two billion devices worldwide.

The company should benefit from this for years to come as it finds new ways to monetize its large base of customers. Apple is making headway in fintech and has also been looking to enter the healthcare industry in some way. Turning to the company's dividends, its 0.55% yield is low, but it has raised its payouts by 120% in the past decade. With a very modest cash-payout ratio of 15.3%, there are miles of room left for more hikes.

While not primarily known for its dividends, Apple can give passive income seekers exactly what they want while delivering market-beating returns."
Here's How Apple Is Making iPhone More Useful Via iOS 17 When Lying Idle And A Lot More,Yahoo Entertainment,2023-05-25T14:31:43Z,https://finance.yahoo.com/news/heres-apple-making-iphone-more-143143665.html,"Apple Inc (NASDAQ: AAPL) eyed a new interface for iPhones to make them more useful while lying idle via its iOS 17 software update, Dawn, which will reach consumers in 2023.

The new interface will show information, including calendar appointments, the weather, and notifications in the style of a smart-home display, Bloomberg cites knowledgeable sources.

The view will appear when an iPhone is locked and positioned horizontally, similar to that of Alphabet Inc’s (NASDAQ: GOOG) (NASDAQ: GOOGL) Google, and Amazon.com Inc (NASDAQ: AMZN).

Apple plans to showcase the software launch alongside its mixed-reality headset at the Worldwide Developers Conference on June 5.

The move marks its broader push to embed live information in more parts of the company’s software, including the Apple Watch’s interface.

The Apple feature will use a dark background with bright text. It proposes to build on the company’s launch of lock screen widgets in 2022 as part of iOS 16.

The iPhone maker is also working on a new horizontal interface for the iPad.

Apple is exploring other ways to turn its devices into smart-home displays, like developing a low-cost tablet that can magnetically attach to walls and stands.

As part of iOS 17, Apple is also planning significant changes to the iPhone’s Wallet app and location services. Apple eyes a new journaling app to add note-taking.

The company proposes incorporating health changes with new features for logging mood and coping with weak vision. Apple is planning to bring the Health app to the iPad.

Apple is also working on upgrades for SharePlay, its feature that lets users FaceTime while collaborating in apps, and AirPlay, which beams content from Apple devices to TVs and speakers."
